Região,Município,UF,Lat,Long
Sul de Minas,Aiuruoca,MG,-21.9759554,-44.6036637
Sul de Minas,Tapiraí,MG,-19.8882788,-46.0202739
Sul de Minas,Cabo Verde,MG,-21.4743338,-46.3964995
Sul de Minas,Contagem,MG,-19.9132749,-44.0840953
Sul de Minas,Estiva,MG,-22.4638686,-46.0182101
Sul de Minas,Itaguara,MG,-20.391389,-44.488055
Sul de Minas,Liberdade,MG,-22.0253009,-44.3208231
Sul de Minas,Passa Quatro,MG,-22.3893803,-44.9666039
Sul de Minas,Rio Manso,MG,-20.1912278,-44.2756505
Sul de Minas,Sapucaí-Mirim,MG,-22.7480012,-45.7427651
Sul de Minas,São Sebastião do Paraíso,MG,-20.9124331,-46.9823296
Sul de Minas,Aguanil,MG,-20.9424533,-45.3927152
Sul de Minas,Arceburgo,MG,-21.364444,-46.939722
Sul de Minas,Caldas,MG,-21.923611,-46.386111
Sul de Minas,Coqueiral,MG,-21.1898365,-45.4409829
Sul de Minas,Extrema,MG,-22.8549109,-46.3190079
Sul de Minas,Itajubá,MG,-22.4238234,-45.4524156
Sul de Minas,Luminárias,MG,-21.5112256,-44.903813
Sul de Minas,Passa Tempo,MG,-20.650556,-44.495833
Sul de Minas,Santa Cruz de Minas,MG,-21.1205363,-44.227261
Sul de Minas,Sarzedo,MG,-20.0353,-44.1453
Sul de Minas,Belo Vale,MG,-20.407778,-44.024167
Sul de Minas,Alagoa,MG,-22.1697202,-44.6400042
Sul de Minas,Camanducaia,MG,-22.755278,-46.144444
Sul de Minas,Cordislândia,MG,-21.792843,-45.7029983
Sul de Minas,Fama,MG,-21.4090398,-45.8322579
Sul de Minas,Itamonte,MG,-22.2830726,-44.8695785
Sul de Minas,Machado,MG,-21.6762861,-45.9211696
Sul de Minas,Passa-Vinte,MG,-22.209722,-44.234444
Sul de Minas,Santa Rita de Caldas,MG,-22.028889,-46.336944
Sul de Minas,Senador Amaral,MG,-22.5654695,-46.17769167394954
Sul de Minas,Betim,MG,-19.968056,-44.198333
Sul de Minas,Albertina,MG,-20.66164,-43.784039
Sul de Minas,Cambuí,MG,-22.6122501,-46.0572137
Sul de Minas,Coronel Xavier Chaves,MG,-21.0234482,-44.2233108
